"virginia.date","virginia.MSL"
1994-01-01,0.211
1994-02-01,0.299
1994-03-01,0.251
1994-04-01,0.219
1994-05-01,0.341
1994-06-01,0.273
1994-07-01,0.245
1994-08-01,0.309
1994-09-01,0.398
1994-10-01,0.494
1994-11-01,0.482
1994-12-01,0.457
1995-01-01,0.281
1995-02-01,0.175
1995-03-01,0.368
1995-04-01,0.387
1995-05-01,0.36
1995-06-01,0.306
1995-07-01,0.332
1995-08-01,0.428
1995-09-01,0.534
1995-10-01,0.521
1995-11-01,0.398
1995-12-01,0.355
1996-01-01,0.296
1996-02-01,0.214
1996-03-01,0.221
1996-04-01,0.298
1996-05-01,0.265
1996-06-01,0.241
1996-07-01,0.265
1996-08-01,0.285
1996-09-01,0.353
1996-10-01,0.472
1996-11-01,0.463
1996-12-01,0.315
1997-01-01,0.296
1997-02-01,0.288
1997-03-01,0.298
1997-04-01,0.366
1997-05-01,0.32
1997-06-01,0.367
1997-07-01,0.321
1997-08-01,0.361
1997-09-01,0.412
1997-10-01,0.417
1997-12-01,0.269
1998-01-01,0.275
1998-02-01,0.34
1998-03-01,0.304
1998-04-01,0.264
1998-05-01,0.298
1998-06-01,0.275
1998-07-01,0.284
1998-08-01,0.343
1998-09-01,0.396
1998-10-01,0.402
1998-11-01,0.329
1998-12-01,0.295
1999-01-01,0.316
1999-02-01,0.379
1999-03-01,0.294
1999-04-01,0.32
1999-05-01,0.363
1999-06-01,0.346
1999-07-01,0.334
1999-08-01,0.385
1999-09-01,0.57
1999-10-01,0.543
1999-11-01,0.48
1999-12-01,0.359
2000-01-01,0.306
2000-02-01,0.279
2000-03-01,0.292
2000-04-01,0.304
2000-05-01,0.293
2000-06-01,0.351
2000-07-01,0.409
2000-08-01,0.4
2000-09-01,0.483
2000-10-01,0.574
2000-11-01,0.442
2000-12-01,0.358
2001-01-01,0.248
2001-02-01,0.205
2001-03-01,0.252
2001-04-01,0.255
2001-05-01,0.374
2001-06-01,0.245
2001-07-01,0.295
2001-08-01,0.318
2001-09-01,0.417
2001-10-01,0.535
2001-11-01,0.511
2001-12-01,0.373
2002-01-01,0.204
2002-02-01,0.31
2002-03-01,0.264
2002-04-01,0.312
2002-05-01,0.338
2002-06-01,0.393
2002-07-01,0.314
2002-08-01,0.427
2002-09-01,0.483
2002-10-01,0.516
2002-11-01,0.375
2002-12-01,0.314
2003-01-01,0.239
2003-02-01,0.181
2003-03-01,0.283
2003-04-01,0.367
2003-05-01,0.302
2003-06-01,0.27
2003-07-01,0.275
2003-08-01,0.344
2003-09-01,0.435
2003-10-01,0.479
2003-11-01,0.464
2003-12-01,0.331
2004-01-01,0.294
2004-02-01,0.3
2004-03-01,0.32
2004-04-01,0.289
2004-05-01,0.282
2004-06-01,0.283
2004-07-01,0.294
2004-08-01,0.304
2004-09-01,0.447
2004-10-01,0.472
2004-11-01,0.436
2004-12-01,0.294
2005-01-01,0.331
2005-02-01,0.368
2005-03-01,0.279
2005-04-01,0.347
2005-05-01,0.366
2005-06-01,0.37
2005-07-01,0.332
2005-08-01,0.368
2005-09-01,0.54
2005-10-01,0.537
2005-11-01,0.376
2005-12-01,0.28
2006-01-01,0.246
2006-02-01,0.234
2006-03-01,0.314
2006-04-01,0.355
2006-05-01,0.388
2006-06-01,0.275
2006-07-01,0.309
2006-08-01,0.353
2006-09-01,0.433
2006-10-01,0.519
2006-11-01,0.436
2006-12-01,0.344
2007-01-01,0.313
2007-02-01,0.278
2007-03-01,0.306
2007-04-01,0.331
2007-05-01,0.489
2007-06-01,0.413
2007-07-01,0.383
2007-08-01,0.385
2007-09-01,0.495
2007-10-01,0.555
2007-11-01,0.463
2007-12-01,0.316
2008-01-01,0.339
2008-02-01,0.212
2008-03-01,0.232
2008-04-01,0.398
2008-05-01,0.348
2008-06-01,0.298
2008-07-01,0.405
2008-08-01,0.42
2008-09-01,0.63
2008-10-01,0.564
2008-11-01,0.467
2008-12-01,0.266
2009-01-01,0.188
2009-02-01,0.208
2009-03-01,0.316
2009-04-01,0.267
2009-05-01,0.338
2009-06-01,0.412
2009-07-01,0.323
2009-08-01,0.388
2009-09-01,0.571
2009-10-01,0.52
2009-11-01,0.568
2009-12-01,0.444
2010-01-01,0.322
2010-02-01,0.357
2010-03-01,0.297
2010-04-01,0.311
2010-05-01,0.332
2010-06-01,0.36
2010-07-01,0.361
2010-08-01,0.369
2010-09-01,0.508
2010-10-01,0.472
2010-11-01,0.437
2010-12-01,0.332
2011-01-01,0.223
2011-02-01,0.215
2011-03-01,0.263
2011-04-01,0.279
2011-05-01,0.321
2011-06-01,0.366
2011-07-01,0.359
2011-08-01,0.447
2011-09-01,0.467
2011-10-01,0.51
2011-11-01,0.51
2011-12-01,0.387
2012-01-01,0.263
2012-02-01,0.379
2012-03-01,0.344
2012-04-01,0.379
2012-05-01,0.421
2012-06-01,0.47
2012-07-01,0.397
2012-08-01,0.42
2012-09-01,0.428
2012-10-01,0.528
2012-11-01,0.599
2012-12-01,0.431
2013-01-01,0.366
2013-02-01,0.348
2013-03-01,0.407
2013-04-01,0.35
2013-05-01,0.419
2013-06-01,0.332
2013-07-01,0.413
2013-08-01,0.402
2013-09-01,0.506
2013-10-01,0.583
2013-11-01,0.541
2013-12-01,0.421
2014-01-01,0.399
2014-02-01,0.423
2014-03-01,0.39
2014-04-01,0.411
2014-05-01,0.426
2014-06-01,0.374
2014-07-01,0.381
2014-08-01,0.482
2014-09-01,0.51
2014-10-01,0.541
2014-11-01,0.546
2014-12-01,0.509
2015-01-01,0.42
